"03024: Eksport av oppalen laks, etter uke og varegruppe"
"uke";"Fersk oppalen laks Vekt (tonn)";"Fersk oppalen laks Kilopris (kr)"
"2010U01";11067;29.82
"2010U02";10808;28.17
"2010U03";10891;28.92
"2010U04";10967;29.69
"2010U05";10826;31.84
"2010U06";10929;34.23
"2010U07";10891;34.88
"2010U08";9293;33.76
"2010U09";10902;35.37
"2010U10";11640;35.87
"2010U11";11921;36.65
"2010U12";13320;35.12
"2010U13";7751;38.46
"2010U14";9929;39.26
"2010U15";11632;39.60
"2010U16";11073;37.92
"2010U17";10955;38.62
"2010U18";11785;38.87
"2010U19";10533;39.51
"2010U20";10629;41.78
"2010U21";11535;39.65
"2010U22";12513;38.03
"2010U23";11780;37.16
"2010U24";12639;38.74
"2010U25";12280;40.05
"2010U26";12245;39.09
"2010U27";11817;40.07
"2010U28";11275;40.73
"2010U29";10242;38.50
"2010U30";10625;38.49
"2010U31";9884;38.85
"2010U32";10182;39.85
"2010U33";11048;41.31
"2010U34";12120;39.58
"2010U35";12697;37.62
"2010U36";13132;37.07
"2010U37";12597;36.76
"2010U38";13516;37.86
"2010U39";13536;37.20
"2010U40";13279;36.15
"2010U41";13935;37.84
"2010U42";13539;37.31
"2010U43";14335;36.11
"2010U44";13748;36.06
"2010U45";13988;35.76
"2010U46";14497;36.30
"2010U47";15255;36.05
"2010U48";15346;38.42
"2010U49";17626;43.13
"2010U50";17716;43.46
"2010U51";10713;43.24
"2010U52";7752;40.37
"2011U01";9309;38.43
"2011U02";11133;39.96
"2011U03";11853;40.44
"2011U04";11570;38.82
"2011U05";10320;39.98
"2011U06";10817;39.71
"2011U07";10982;40.81
"2011U08";10585;41.61
"2011U09";10941;40.89
"2011U10";12801;40.56
"2011U11";12165;40.44
"2011U12";11899;40.79
"2011U13";10941;40.94
"2011U14";12729;42.20
"2011U15";13763;43.61
"2011U16";8130;43.08
"2011U17";9888;42.71
"2011U18";11889;42.21
"2011U19";13036;40.05
"2011U20";10413;38.75
"2011U21";12609;36.67
"2011U22";10992;36.08
"2011U23";13201;34.11
"2011U24";11833;33.37
"2011U25";13159;31.61
"2011U26";12880;28.54
"2011U27";12160;31.20
"2011U28";13277;33.21
"2011U29";12758;30.11
"2011U30";10897;30.62
"2011U31";11197;29.35
"2011U32";12169;29.59
"2011U33";12639;28.91
"2011U34";13788;26.55
"2011U35";13819;27.27
"2011U36";14804;27.47
"2011U37";14613;25.97
"2011U38";14992;26.59
"2011U39";16079;25.23
"2011U40";16648;24.55
"2011U41";16376;24.20
"2011U42";16207;23.01
"2011U43";15906;21.63
"2011U44";15301;24.18
"2011U45";16194;25.23
"2011U46";17327;24.16
"2011U47";18890;26.15
"2011U48";18710;26.06
"2011U49";19953;25.90
"2011U50";22369;28.49
"2011U51";16499;26.90
"2011U52";9721;26.40
"2012U01";11785;25.65
"2012U02";12528;24.95
"2012U03";13994;26.71
"2012U04";12990;25.26
"2012U05";13226;25.31
"2012U06";12883;27.51
"2012U07";13613;28.49
"2012U08";14382;29.84
"2012U09";15829;28.77
"2012U10";15525;28.64
"2012U11";16395;29.07
"2012U12";17175;28.27
"2012U13";18334;26.64
"2012U14";9286;29.61
"2012U15";15530;29.34
"2012U16";16510;28.70
"2012U17";15370;29.11
"2012U18";13019;29.11
"2012U19";16526;29.06
"2012U20";14425;31.27
"2012U21";16542;29.51
"2012U22";15328;28.30
"2012U23";16993;26.42
"2012U24";17607;25.92
"2012U25";16734;27.59
"2012U26";15826;26.90
"2012U27";16555;27.70
"2012U28";16064;26.90
"2012U29";14412;26.40
"2012U30";14355;26.56
"2012U31";15238;27.17
"2012U32";15064;28.31
"2012U33";15317;27.36
"2012U34";15533;27.67
"2012U35";16542;29.10
"2012U36";16474;28.60
"2012U37";17354;26.92
"2012U38";18359;26.02
"2012U39";18459;23.99
"2012U40";17312;24.28
"2012U41";17499;26.66
"2012U42";18298;26.24
"2012U43";17301;25.10
"2012U44";17795;27.02
"2012U45";17867;26.59
"2012U46";18453;27.73
"2012U47";19372;26.63
"2012U48";19394;27.15
"2012U49";21897;29.16
"2012U50";23674;30.78
"2012U51";23219;29.56
"2012U52";7356;33.11
"2013U01";10364;33.57
"2013U02";15684;33.35
"2013U03";15135;34.76
"2013U04";14010;36.51
"2013U05";13732;35.27
"2013U06";13631;34.84
"2013U07";14332;36.13
"2013U08";13163;37.03
"2013U09";13550;38.97
"2013U10";14576;38.90
"2013U11";15892;37.70
"2013U12";18376;36.02
"2013U13";10986;37.93
"2013U14";11291;39.85
"2013U15";13550;42.27
"2013U16";13438;43.23
"2013U17";14289;42.00
"2013U18";13265;42.41
"2013U19";14217;42.31
"2013U20";14132;43.51
"2013U21";14456;43.81
"2013U22";15171;40.77
"2013U23";14847;40.22
"2013U24";14940;39.22
"2013U25";13330;41.19
"2013U26";13309;43.40
"2013U27";14217;45.15
"2013U28";14102;44.26
"2013U29";14098;45.12
"2013U30";13509;43.01
"2013U31";12572;40.14
"2013U32";13734;39.92
"2013U33";13675;43.43
"2013U34";15530;42.03
"2013U35";16403;38.16
"2013U36";16791;37.31
"2013U37";18020;33.73
"2013U38";18859;30.04
"2013U39";18487;32.82
"2013U40";18727;35.87
"2013U41";18442;35.68
"2013U42";18051;38.32
"2013U43";18068;38.74
"2013U44";18734;39.70
"2013U45";17751;38.50
"2013U46";18020;36.98
"2013U47";17907;39.94
"2013U48";18384;40.17
"2013U49";21121;45.65
"2013U50";23617;48.61
"2013U51";22644;48.52
"2013U52";7100;50.58
"2014U01";9341;50.34
"2014U02";15118;48.75
"2014U03";14505;49.27
"2014U04";13699;49.72
"2014U05";13784;46.80
"2014U06";13053;45.62
"2014U07";13190;49.41
"2014U08";14324;48.76
"2014U09";15963;46.68
"2014U10";15949;44.13
"2014U11";15975;44.07
"2014U12";16449;43.63
"2014U13";16159;43.83
"2014U14";17313;44.01
"2014U15";19722;44.35
"2014U16";12057;47.40
"2014U17";14614;46.29
"2014U18";14590;44.62
"2014U19";15636;42.03
"2014U20";15695;40.28
"2014U21";16593;39.37
"2014U22";14444;38.83
"2014U23";16919;37.65
"2014U24";15355;37.51
"2014U25";17308;36.47
"2014U26";17145;33.60
"2014U27";15108;37.60
"2014U28";15256;41.66
"2014U29";14452;42.26
"2014U30";14297;42.23
"2014U31";15439;37.70
"2014U32";15634;37.48
"2014U33";15710;35.82
"2014U34";16726;34.95
"2014U35";16287;34.87
"2014U36";17045;35.71
"2014U37";17009;34.43
"2014U38";17405;34.05
"2014U39";17142;35.43
"2014U40";17134;35.59
"2014U41";17554;34.40
"2014U42";17925;34.44
"2014U43";17091;36.51
"2014U44";17873;37.06
"2014U45";16848;37.61
"2014U46";17877;39.95
"2014U47";17687;41.76
"2014U48";18451;43.38
"2014U49";20184;45.29
"2014U50";21210;46.84
"2014U51";18822;42.36
"2014U52";8305;47.20
"2015U01";9466;45.57
"2015U02";15622;45.77
"2015U03";15946;46.28
"2015U04";16444;44.31
"2015U05";14810;39.78
"2015U06";14693;43.43
"2015U07";14634;44.78
"2015U08";15864;41.76
"2015U09";16173;39.10
"2015U10";15920;41.14
"2015U11";17767;42.47
"2015U12";19019;41.79
"2015U13";20283;40.32
"2015U14";12240;42.30
"2015U15";15764;42.24
"2015U16";17988;39.35
"2015U17";16066;37.62
"2015U18";16206;39.25
"2015U19";17602;36.99
"2015U20";15948;39.96
"2015U21";18209;38.65
"2015U22";16364;37.92
"2015U23";16613;38.77
"2015U24";17313;41.51
"2015U25";16036;42.69
"2015U26";16383;40.94
"2015U27";15214;39.76
"2015U28";15205;42.26
"2015U29";14930;44.81
"2015U30";15267;46.23
"2015U31";13878;45.63
"2015U32";14226;46.68
"2015U33";15798;46.63
"2015U34";16971;41.74
"2015U35";17353;39.06
"2015U36";17227;43.03
"2015U37";17706;43.18
"2015U38";19057;41.54
"2015U39";18914;40.39
"2015U40";18598;40.07
"2015U41";18604;43.09
"2015U42";18992;42.43
"2015U43";20108;41.06
"2015U44";19201;41.86
"2015U45";18118;42.98
"2015U46";18705;42.52
"2015U47";18125;44.51
"2015U48";18889;48.79
"2015U49";19802;50.06
"2015U50";20949;49.05
"2015U51";20207;51.30
"2015U52";10494;53.26
"2015U53";9593;55.06
"2016U01";14173;57.27
"2016U02";14655;61.64
"2016U03";16115;54.56
"2016U04";15700;49.24
"2016U05";14839;51.27
"2016U06";14323;53.21
"2016U07";14682;56.95
"2016U08";14627;58.54
"2016U09";16087;58.48
"2016U10";16059;56.07
"2016U11";17936;57.88
"2016U12";10405;62.51
"2016U13";13750;61.98
"2016U14";15627;59.03
"2016U15";16367;55.56
"2016U16";15169;56.47
"2016U17";15425;55.65
"2016U18";14032;56.88
"2016U19";17283;62.19
"2016U20";12320;65.71
"2016U21";16324;57.41
"2016U22";15456;57.91
"2016U23";12500;64.70
"2016U24";14209;69.44
"2016U25";13845;67.40
"2016U26";12619;65.02
"2016U27";11925;70.96
"2016U28";13694;70.38
"2016U29";13629;65.12
"2016U30";14947;59.41
"2016U31";15413;57.52
"2016U32";16386;59.61
"2016U33";16680;59.23
"2016U34";16188;56.36
"2016U35";16810;56.47
"2016U36";18063;55.28
"2016U37";18559;52.78
"2016U38";19576;53.36
"2016U39";19426;55.39
"2016U40";18261;58.64
"2016U41";16770;59.67
"2016U42";17137;61.36
"2016U43";16888;61.50
"2016U44";18472;60.65
"2016U45";17125;59.63
"2016U46";18009;63.57
"2016U47";18734;62.46
"2016U48";19131;62.94
"2016U49";18476;66.44
"2016U50";19450;69.28
"2016U51";15026;73.09
"2016U52";10408;73.53
"2017U01";11950;75.25
"2017U02";13217;72.42
"2017U03";14219;72.50
"2017U04";14137;70.35
"2017U05";14426;66.01
"2017U06";14901;64.96
"2017U07";14775;64.08
"2017U08";15311;63.20
"2017U09";15774;59.55
"2017U10";15606;58.36
"2017U11";15294;61.98
"2017U12";16351;63.76
"2017U13";17821;62.70
"2017U14";18658;62.82
"2017U15";11516;65.13
"2017U16";14381;64.85
"2017U17";13791;62.17
"2017U18";12105;65.79
"2017U19";14305;70.18
"2017U20";13034;72.47
"2017U21";13773;72.17
"2017U22";14551;66.02
"2017U23";12787;69.91
"2017U24";13680;67.87
"2017U25";13724;68.96
"2017U26";14485;69.36
"2017U27";15795;65.71
"2017U28";14234;63.22
"2017U29";14428;65.12
"2017U30";15251;62.11
"2017U31";16311;60.55
"2017U32";17373;59.53
"2017U33";17023;55.63
"2017U34";16988;56.80
"2017U35";18043;54.89
"2017U36";18273;55.56
"2017U37";19307;53.85
"2017U38";18876;55.30
"2017U39";19317;57.21
"2017U40";18964;56.61
"2017U41";18213;54.52
"2017U42";18824;55.32
"2017U43";20343;53.17
"2017U44";19574;49.05
"2017U45";19123;51.25
"2017U46";19542;53.89
"2017U47";19795;49.02
"2017U48";20927;48.65
"2017U49";21601;53.36
"2017U50";24582;53.76
"2017U51";19386;54.73
"2017U52";9901;56.23
"2018U01";14259;58.52
"2018U02";17007;57.28
"2018U03";16479;55.46
"2018U04";17441;56.96
"2018U05";17266;56.86
"2018U06";16515;54.69
"2018U07";15052;56.52
"2018U08";15688;62.20
"2018U09";15230;65.16
"2018U10";15825;67.57
"2018U11";17862;67.94
"2018U12";19138;65.12
"2018U13";11423;71.75
"2018U14";13953;71.50
"2018U15";15751;68.21
"2018U16";15094;67.32
"2018U17";14510;66.79
"2018U18";13735;71.16
"2018U19";14991;75.40
"2018U20";14951;76.09
"2018U21";15363;73.71
"2018U22";16826;66.17
"2018U23";16732;61.34
"2018U24";16548;65.00
"2018U25";16297;61.70
"2018U26";16929;58.25
"2018U27";17914;58.55
"2018U28";17402;55.40
"2018U29";17286;55.14
"2018U30";17367;56.07
"2018U31";17466;57.44
"2018U32";18978;57.33
"2018U33";19004;53.62
"2018U34";18551;52.99
"2018U35";17501;57.43
"2018U36";17919;62.60
"2018U37";18489;62.10
"2018U38";17736;60.28
"2018U39";19344;59.15
"2018U40";19999;57.93
"2018U41";19237;58.49
"2018U42";20828;58.95
"2018U43";19103;57.77
"2018U44";19305;59.07
"2018U45";18638;57.37
"2018U46";19468;55.90
"2018U47";19701;53.84
"2018U48";19860;55.76
"2018U49";21773;59.50
"2018U50";23046;58.87
"2018U51";21874;58.20
"2018U52";9179;65.15
"2019U01";12098;66.66
"2019U02";16968;63.90
"2019U03";15367;62.88
"2019U04";17427;60.83
"2019U05";16333;57.41
"2019U06";17688;56.73
"2019U07";17634;56.82
"2019U08";17103;60.00
"2019U09";15192;65.65
"2019U10";14387;72.45
"2019U11";14472;71.55
"2019U12";16569;67.78
"2019U13";17460;65.13
"2019U14";17409;68.21
"2019U15";19916;67.33
"2019U16";12499;71.45
"2019U17";16037;69.53
"2019U18";16133;62.85
"2019U19";16315;61.94
"2019U20";16127;65.48
"2019U21";18992;61.33
"2019U22";17473;58.52
"2019U23";15457;61.85
"2019U24";15627;69.90
"2019U25";17756;64.09
"2019U26";17510;60.12
"2019U27";15805;61.06
"2019U28";16630;64.64
"2019U29";16754;60.18
"2019U30";18839;56.16
"2019U31";19422;54.13
"2019U32";19035;54.45
"2019U33";19510;55.05
"2019U34";20732;51.82
"2019U35";19995;55.10
"2019U36";20918;53.07
"2019U37";21666;50.80
"2019U38";22100;48.62
"2019U39";22761;47.73
"2019U40";21618;46.83
"2019U41";21887;50.70
"2019U42";21025;54.66
"2019U43";21587;53.87
"2019U44";21899;52.99
"2019U45";19393;54.48
"2019U46";20563;58.63
"2019U47";21543;61.56
"2019U48";21783;63.25
"2019U49";20399;63.72
"2019U50";22556;68.76
"2019U51";20352;75.05
"2019U52";8714;77.04
"2020U01";11249;78.20
"2020U02";16141;77.63
"2020U03";17512;76.38
"2020U04";16034;75.53
"2020U05";16259;70.25
"2020U06";15452;65.56
"2020U07";17375;64.49
"2020U08";15504;68.42
"2020U09";16153;72.80
"2020U10";14891;67.74
"2020U11";18009;66.17
"2020U12";15332;61.29
"2020U13";15676;58.95
"2020U14";16955;60.04
"2020U15";11992;59.34
"2020U16";15119;56.11
"2020U17";16029;56.46
"2020U18";15212;55.85
"2020U19";15927;54.66
"2020U20";16824;59.17
"2020U21";15417;65.46
"2020U22";16342;64.28
"2020U23";13442;69.23
"2020U24";17174;69.94
"2020U25";16081;61.92
"2020U26";15888;59.01
"2020U27";16147;59.81
"2020U28";18090;58.69
"2020U29";17391;52.68
"2020U30";16482;52.23
"2020U31";16616;49.72
"2020U32";18471;49.62
"2020U33";17910;51.70
"2020U34";18922;52.61
"2020U35";18760;49.25
"2020U36";21788;48.90
"2020U37";21188;49.46
"2020U38";20791;48.50
"2020U39";20748;50.77
"2020U40";23535;49.83
"2020U41";22748;48.58
"2020U42";21602;50.00
"2020U43";21738;48.04
"2020U44";21486;47.09
"2020U45";21382;46.90
"2020U46";20136;47.98
"2020U47";21750;48.58
"2020U48";21964;47.67
"2020U49";23507;46.35
"2020U50";24043;46.09
"2020U51";24827;46.24
"2020U52";14127;50.22
"2020U53";13597;54.01
"2021U01";18590;50.38
"2021U02";18720;46.55
"2021U03";19141;49.81
"2021U04";20045;47.94
"2021U05";19322;47.31
"2021U06";20115;51.21
"2021U07";19128;51.07
"2021U08";16754;55.51
"2021U09";17969;63.31
"2021U10";16959;62.79
"2021U11";17699;59.97
"2021U12";20495;62.06
"2021U13";14286;65.25
"2021U14";15144;65.17
"2021U15";17979;60.99
"2021U16";16234;61.13
"2021U17";14629;65.74
"2021U18";14137;65.06
"2021U19";14863;71.08
"2021U20";14746;68.48
"2021U21";15977;63.53
"2021U22";17993;59.59
"2021U23";17277;57.64
"2021U24";17738;61.45
"2021U25";19385;60.12
"2021U26";18688;59.17
"2021U27";18410;59.85
"2021U28";17066;64.69
"2021U29";19289;66.05
"2021U30";19460;62.03
"2021U31";20239;58.52
"2021U32";21558;59.08
"2021U33";22000;56.91
"2021U34";23881;54.08
"2021U35";24787;54.41
"2021U36";26422;52.30
"2021U37";25827;53.43
"2021U38";26728;52.88
"2021U39";26410;53.54
"2021U40";25798;55.33
"2021U41";24509;58.39
"2021U42";22881;59.63
"2021U43";24174;57.98
"2021U44";25120;56.09
"2021U45";24527;54.86
"2021U46";24388;58.13
"2021U47";24322;61.84
"2021U48";23677;61.11
"2021U49";23597;65.06
"2021U50";25735;71.77
"2021U51";18099;71.32
"2021U52";14360;68.38
"2022U01";18114;67.32
"2022U02";17600;72.05
"2022U03";17699;72.97
"2022U04";18163;70.56
"2022U05";17327;74.42
"2022U06";17680;77.55
"2022U07";17933;87.60
"2022U08";17513;87.92
"2022U09";16643;83.75
"2022U10";16738;83.23
"2022U11";17326;78.28
"2022U12";17129;83.53
"2022U13";16023;84.16
"2022U14";17628;93.21
"2022U15";12041;94.63
"2022U16";13181;98.93
"2022U17";14245;107.75
"2022U18";13902;108.21
"2022U19";16113;97.65
"2022U20";13367;92.71
"2022U21";14301;95.13
"2022U22";16537;95.88
"2022U23";13618;96.66
"2022U24";15317;98.43
"2022U25";16619;97.43
"2022U26";16407;93.13
"2022U27";16656;90.29
"2022U28";17935;88.52
"2022U29";18927;80.74
"2022U30";18358;74.23
"2022U31";18577;75.23
"2022U32";20183;73.83
"2022U33";22368;69.86
"2022U34";24160;64.62
"2022U35";24010;61.94
"2022U36";25032;61.80
"2022U37";25816;64.49
"2022U38";27882;64.55
"2022U39";26236;65.67
"2022U40";24934;69.38
"2022U41";25531;72.88
"2022U42";25004;72.09
"2022U43";23779;70.64
"2022U44";23740;70.76
"2022U45";24421;68.43
"2022U46";22962;70.55
"2022U47";22492;78.00
"2022U48";22316;81.70
"2022U49";23460;77.77
"2022U50";24342;77.35
"2022U51";18401;74.71
"2022U52";13731;86.33
"2023U01";14932;89.67
"2023U02";15402;97.51
"2023U03";16564;94.98
"2023U04";16916;89.77
"2023U05";16946;93.07
"2023U06";15269;93.30
"2023U07";14851;103.22
"2023U08";14905;112.46
"2023U09";15004;119.48
"2023U10";13901;118.23
"2023U11";13786;122.88
"2023U12";15972;117.32
"2023U13";17460;111.04
"2023U14";11722;109.21
"2023U15";15265;113.39
"2023U16";16060;120.57
"2023U17";17281;111.63
"2023U18";13735;112.37
"2023U19";15822;108.66
"2023U20";11512;110.87
"2023U21";15492;108.65
"2023U22";15666;112.95
"2023U23";18299;110.08
"2023U24";17359;100.75
"2023U25";16792;89.46
"2023U26";17238;92.04
"2023U27";19220;94.90
"2023U28";17844;97.02
"2023U29";17898;92.67
"2023U30";19604;86.14
"2023U31";20469;83.28
"2023U32";21060;80.26
"2023U33";22698;78.14
"2023U34";24089;76.87
"2023U35";25260;75.15
"2023U36";25523;76.81
"2023U37";25480;77.05
"2023U38";24851;76.93
"2023U39";24952;80.54
"2023U40";25979;82.68
"2023U41";24679;81.28
"2023U42";24609;85.69
"2023U43";26459;83.27
"2023U44";24437;81.11
"2023U45";23852;81.99
"2023U46";24833;81.52
"2023U47";22141;83.51
"2023U48";22910;85.52
"2023U49";22243;86.73
"2023U50";24551;87.82
"2023U51";18480;91.03
"2023U52";10440;100.70
"2024U01";12105;112.90
"2024U02";16016;108.85
"2024U03";14622;99.87
"2024U04";15342;104.48
"2024U05";13511;109.18
"2024U06";15862;106.91
"2024U07";13639;107.78
"2024U08";10687;111.25
"2024U09";12959;109.58
"2024U10";14487;107.29
"2024U11";14619;106.19
"2024U12";13493;106.78
"2024U13";9512;115.19
"2024U14";11675;120.04
"2024U15";13015;123.28
"2024U16";11766;121.22
"2024U17";12923;113.18
"2024U18";11511;119.65
"2024U19";10617;122.05
"2024U20";11698;120.83
"2024U21";12567;118.07
"2024U22";15060;104.90
"2024U23";16605;92.20
"2024U24";16797;84.87
"2024U25";18125;85.58
"2024U26";17377;79.29
"2024U27";19201;78.24
"2024U28";18421;79.78
"2024U29";18177;81.46
"2024U30";21986;81.55
"2024U31";22624;81.19
"2024U32";20669;80.41
"2024U33";21367;80.89
"2024U34";24242;76.82
"2024U35";25506;73.93
"2024U36";26416;73.08
"2024U37";27899;74.12
"2024U38";28673;74.57
"2024U39";29238;73.23
"2024U40";26543;69.70
"2024U41";25180;72.76
"2024U42";25561;76.02
"2024U43";24910;77.59
"2024U44";25749;76.49
"2024U45";23871;77.80
"2024U46";22825;81.68
"2024U47";23333;86.59
"2024U48";25376;89.32
"2024U49";25742;87.46
"2024U50";25658;90.74
"2024U51";22450;92.15
"2024U52";9134;111.82
"2025U01";11364;125.36
"2025U02";15939;117.77
"2025U03";17325;105.08
"2025U04";15564;98.43
"2025U05";16370;94.49
"2025U06";15184;92.18
"2025U07";15966;93.23
"2025U08";15536;92.97
"2025U09";18067;92.67
"2025U10";17116;87.00
"2025U11";17467;88.64
"2025U12";18172;89.09
"2025U13";18828;84.45
"2025U14";19053;76.40
"2025U15";20009;78.56
"2025U16";13620;95.33
"2025U17";18343;89.19
"2025U18";18958;75.35
"2025U19";18073;74.31
"2025U20";19523;77.06
"2025U21";20466;75.89
"2025U22";18223;70.42
"2025U23";19164;72.42
"2025U24";18505;82.73
"2025U25";22332;76.33
"2025U26";21712;68.74
"2025U27";22602;70.28
"2025U28";24500;67.29
"2025U29";24412;68.13
"2025U30";26055;65.10
"2025U31";25317;60.58
"2025U32";25796;62.05
"2025U33";27320;64.38
"2025U34";28180;65.13
"2025U35";27726;65.86
"2025U36";26744;70.20
"2025U37";24791;74.99
"2025U38";24495;77.40
"2025U39";23396;79.91
"2025U40";24009;77.68
"2025U41";26112;75.38
"2025U42";26448;73.74
"2025U43";25886;78.25
"2025U44";24875;80.55
"2025U45";24111;78.08
"2025U46";23488;80.10
"2025U47";24038;84.54
"2025U48";24188;82.50
"2025U49";23754;88.83
"2025U50";25596;95.84
"2025U51";23942;88.71
"2025U52";12527;103.59
"2026U01";13496;100.40
"2026U02";21000;92.33
"2026U03";22239;83.65
"2026U04";20924;83.09
"2026U05";20538;81.29
"2026U06";19798;92.86
"2026U07";19990;93.60
"2026U08";17853;84.89
"2026U09";17853;81.34
"2026U10";16113;88.03
"2026U11";17120;94.98
